"","School.Type","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Gender.Ratio.M.to.F","Enrol_sum_all","Enrol_sum_JKto3","Enrol_sum_4to6"
"271","Catholic","Lowest","Lowest","Low","High","High","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Low","Low","Highest","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"272","Catholic","Highest","Lowest","Low","High","High","High","FALSE","Medium","Medium","Low","Low","Low","Low","High","Low","YES","NO","YES","Medium","Lowest","Lowest","Lowest"
"273","Catholic","Lowest","Lowest","Low","High","High","Lowest","FALSE","Low","Medium","Medium","High","Medium","High","Low","Medium","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"274","Catholic","Highest","Lowest","Low","High","High","Medium","FALSE","Medium","Lowest","Low","Highest","Medium","Medium","Low","High","YES","NO","YES","Medium","Lowest","Lowest","Lowest"
"275","Catholic","Lowest","Low","Low","High","High","Highest","FALSE","Medium","Low","Highest","Lowest","Lowest","Lowest","High","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"276","Catholic","Low","Lowest","Low","High","High","Highest","FALSE","Lowest","Low","Lowest","Highest","Medium","Medium","Medium","Medium","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"278","Catholic","Lowest","Lowest","Low","High","High","Highest","FALSE","Medium","Low","Low","Low","Lowest","Lowest","High","Medium","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"279","Catholic","Low","Lowest","Low","High","High","Medium","FALSE","Low","Lowest","Lowest","Lowest","Lowest","Lowest","High","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"280","Catholic","Medium","Lowest","Low","High","High","Lowest","FALSE","High","High","High","Low","Low","High","Lowest","High","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"282","Catholic","Low","Lowest","Low","High","High","Highest","FALSE","Medium","Low","Medium","High","Lowest","High","Highest","Medium","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"285","Catholic","Lowest","Lowest","Low","High","High","Highest","FALSE","Highest","Highest","Highest","High","Low","Medium","High","Lowest","YES","NO","NO","Medium","Lowest","Lowest","Lowest"
"294","Public","Medium","Low","Low","Lowest","Lowest","Low","FALSE","Low","Low","Medium","Lowest","Lowest","Medium","Highest","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"295","Public","Medium","Low","Low","Lowest","Lowest","Lowest","FALSE","Lowest","Lowest","Low","Low","Lowest","Medium","High","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"296","Public","Highest","Low","Low","Lowest","Lowest","Low","FALSE","Medium","Low","Medium","Low","Medium","Medium","Medium","Low","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"297","Public","Lowest","Low","Low","Lowest","Lowest","Low","FALSE","Low","Low","Highest","Low","Lowest","Medium","Low","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"298","Public","Low","Low","Low","Lowest","Lowest","Lowest","FALSE","High","Lowest","Lowest","Lowest","Lowest","Low","Lowest","Medium","NO","NO","YES","Lowest","Lowest","Lowest","Lowest"
"299","Public","High","Low","Low","Lowest","Lowest","Lowest","FALSE","Highest","High","Highest","Medium","High","High","Lowest","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"300","Public","Highest","Low","Low","Lowest","Lowest","Lowest","FALSE","Lowest","Lowest","Lowest","Low","Lowest","Medium","Medium","Lowest","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"301","Public","Highest","Lowest","Low","Lowest","Lowest","Highest","FALSE","Lowest","Low","Low","Low","Lowest","Lowest","High","Low","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"302","Public","Low","Low","Low","Lowest","Lowest","Lowest","FALSE","Medium","Lowest","Lowest","Medium","Low","Low","Medium","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"303","Public","Lowest","Low","Low","Lowest","Lowest","High","FALSE","High","Low","Low","Highest","Lowest","Highest","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"310","Public","Lowest","Low","Low","Lowest","Lowest","Lowest","FALSE","Medium","Lowest","High","High","Low","Low","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"315","Public","Medium","Low","Low","Lowest","Lowest","Highest","FALSE","Lowest","Low","Low","Lowest","Lowest","Low","High","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"316","Public","Medium","Low","Low","Lowest","Lowest","Low","FALSE","Lowest","Low","High","Medium","High","Medium","High","Lowest","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"318","Public","Lowest","Low","Low","Lowest","Lowest","High","FALSE","Low","Medium","Lowest","Highest","Medium","Low","Highest","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"319","Public","High","Low","Low","Lowest","Lowest","Low","FALSE","Highest","High","Highest","High","Medium","Medium","Medium","High","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"321","Public","High","Low","Low","Lowest","Lowest","High","FALSE","Lowest","Lowest","Lowest","Low","Lowest","Lowest","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"322","Public","Low","Low","Low","Lowest","Lowest","Low","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Lowest","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"324","Public","Low","Low","Low","Lowest","Lowest","Medium","FALSE","Low","High","High","Low","Low","Lowest","Medium","Medium","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"327","Public","Medium","Low","Low","Lowest","Lowest","High","FALSE","Lowest","Low","Medium","Lowest","Lowest","Low","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"328","Public","Lowest","Low","Low","Lowest","Lowest","Medium","FALSE","Lowest","Lowest","Lowest","Medium","High","High","Medium","Lowest","NO","NO","YES","Lowest","Lowest","Lowest","Lowest"
"331","Public","Lowest","Low","Low","Lowest","Lowest","Low","FALSE","High","Medium","Low","Low","Lowest","Low","High","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"333","Public","Lowest","Medium","Low","Low","Lowest","Low","FALSE","High","High","High","Highest","High","High","Low","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"334","Public","Lowest","Medium","Lowest","Low","Lowest","Low","FALSE","Medium","High","High","Medium","Low","Highest","Low","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"335","Public","Low","Medium","Low","Low","Lowest","High","FALSE","Medium","Medium","High","Low","Low","Low","Medium","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"337","Public","High","Medium","Low","Low","Lowest","Lowest","FALSE","Medium","Low","Medium","Medium","Medium","Medium","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"339","Public","Medium","Medium","Low","Low","Lowest","Lowest","FALSE","High","High","Highest","Low","Medium","High","Medium","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"340","Public","Low","Low","Low","Low","Lowest","Lowest","FALSE","Medium","Medium","Medium","High","Highest","High","Lowest","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"341","Public","Lowest","Highest","Low","Medium","Medium","Lowest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"342","Public","Lowest","Medium","Low","Low","Lowest","High","FALSE","Low","Medium","Low","Medium","Low","Lowest","High","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"343","Public","Lowest","Medium","Low","Low","Lowest","High","FALSE","Highest","Highest","High","High","High","Low","Low","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"345","Public","Medium","Medium","Low","Low","Lowest","Lowest","FALSE","Lowest","Lowest","Low","Medium","Medium","High","Medium","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"346","Public","Lowest","Medium","Low","Low","Lowest","Medium","FALSE","Medium","Lowest","Medium","High","Medium","Medium","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"348","Public","Medium","Lowest","Low","Low","Lowest","Low","FALSE","High","Highest","Highest","Lowest","Low","Medium","High","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"349","Public","High","Medium","Low","Low","Lowest","Lowest","FALSE","High","High","Highest","Low","Low","Medium","Low","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"351","Public","Lowest","Medium","Lowest","Low","Lowest","Lowest","FALSE","Low","Low","Medium","Highest","Highest","High","Lowest","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"352","Public","Low","Medium","Low","Low","Lowest","Low","FALSE","Highest","Highest","Highest","Medium","High","Medium","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"353","Public","Lowest","Medium","Lowest","Low","Lowest","Low","FALSE","Medium","Medium","High","Lowest","Lowest","Lowest","Medium","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"354","Public","Low","Medium","Low","Low","Lowest","Medium","FALSE","Lowest","Low","Medium","Medium","High","High","Low","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"357","Public","Low","Medium","Low","Low","Lowest","Low","FALSE","Medium","High","High","High","High","Highest","Medium","Medium","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"361","Public","High","Lowest","Low","Lowest","Lowest","Medium","TRUE","Medium","Medium","Medium","Highest","Highest","Highest","Medium","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"362","Public","Low","Low","Low","Low","Lowest","Low","TRUE","Medium","High","Highest","High","High","Highest","High","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"365","Public","Medium","Lowest","Lowest","Low","Lowest","Lowest","FALSE","Low","Medium","Medium","Lowest","Lowest","Low","Low","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"366","Public","Highest","Lowest","Low","Lowest","Lowest","Lowest","FALSE","Low","Lowest","Low","Low","Low","High","Lowest","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"368","Public","Lowest","Medium","Low","Low","Lowest","Low","FALSE","Highest","Low","Highest","Low","Lowest","Medium","Lowest","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"370","Public","Lowest","Lowest","Lowest","Low","Lowest","Low","FALSE","Lowest","Lowest","Lowest","High","Low","Low","Low","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"373","Public","Medium","Highest","Low","Highest","Highest","Lowest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"375","Public","Medium","Highest","Lowest","Highest","Highest","Medium","FALSE","Low","High","Medium","Lowest","Lowest","Low","Highest","Low","YES","NO","NO","High","Medium","Low","Medium"
"376","Public","Low","Highest","Low","High","High","High","FALSE","Lowest","Medium","Medium","Lowest","Lowest","Low","High","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"377","Public","Low","Highest","Low","Highest","Highest","Low","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Low","YES","NO","NO","High","Medium","Low","Medium"
"378","Public","Highest","Highest","Low","Lowest","Lowest","Lowest","FALSE","High","High","Low","Highest","Highest","Highest","Lowest","Highest","YES","NO","YES","High","Medium","Low","Medium"
"379","Public","Highest","Highest","Low","High","High","Low","FALSE","High","Highest","Medium","High","High","High","High","High","YES","NO","NO","High","Medium","Low","Medium"
"380","Public","Low","Highest","Low","Highest","Highest","Medium","FALSE","Low","Lowest","Lowest","Highest","High","Highest","Highest","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"381","Public","Medium","Highest","Low","Highest","Highest","Lowest","FALSE","High","High","Medium","Highest","Highest","High","Lowest","Highest","YES","NO","NO","High","Medium","Low","Medium"
"382","Public","Medium","Highest","Low","Medium","Medium","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Highest","Low","YES","NO","NO","High","Medium","Low","Medium"
"383","Public","High","Highest","Low","High","High","Medium","FALSE","Medium","Medium","High","Highest","Highest","High","Low","Highest","YES","NO","NO","High","Medium","Low","Medium"
"385","Public","High","Highest","Low","Highest","Highest","Medium","FALSE","Low","Low","High","Low","Low","Lowest","Low","Medium","YES","NO","NO","High","Medium","Low","Medium"
"387","Public","Highest","Highest","Low","High","High","High","FALSE","Lowest","Low","Lowest","Lowest","Lowest","Low","Highest","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"388","Public","Medium","Highest","Low","Highest","Highest","Lowest","FALSE","Medium","Medium","High","High","Medium","Highest","Lowest","Highest","YES","NO","NO","High","Medium","Low","Medium"
"391","Public","Low","Highest","Low","Low","Low","Medium","FALSE","High","High","Medium","Medium","Medium","High","Highest","Low","YES","NO","NO","High","Medium","Low","Medium"
"392","Public","High","Highest","Lowest","Highest","Highest","Lowest","FALSE","Highest","High","Medium","Highest","Highest","High","Highest","Lowest","NO","NO","YES","High","Medium","Low","Medium"
"395","Public","Low","Highest","Low","Highest","Highest","Lowest","FALSE","High","Highest","Highest","Low","Medium","Highest","Medium","High","YES","NO","NO","High","Medium","Low","Medium"
"396","Public","Highest","Highest","Low","Highest","Highest","Lowest","FALSE","Low","Low","Low","Low","Medium","High","Highest","High","YES","NO","NO","High","Medium","Low","Medium"
"397","Public","Medium","Highest","Low","Low","Low","Low","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"398","Public","Highest","Highest","Low","Highest","Highest","Medium","FALSE","Low","Low","Low","Lowest","Lowest","Low","Medium","Low","YES","NO","NO","High","Medium","Low","Medium"
"399","Public","Low","Highest","Low","Low","Low","High","FALSE","Lowest","Medium","Medium","Low","Low","Low","Highest","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"400","Public","Lowest","Highest","Low","Highest","Highest","Medium","FALSE","Low","Medium","Low","Medium","Medium","Medium","Low","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"401","Public","Highest","Highest","Low","Highest","Highest","Low","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"403","Public","Low","Highest","Low","Low","Lowest","Low","FALSE","Low","Lowest","Low","Lowest","Low","Medium","Highest","Low","YES","NO","NO","High","Medium","Low","Medium"
"404","Public","High","Highest","Low","Lowest","Lowest","Low","FALSE","High","Medium","High","High","Medium","Medium","High","Medium","YES","NO","NO","High","Medium","Low","Medium"
"405","Public","Highest","Highest","Low","Highest","Highest","Low","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"407","Public","Low","Highest","Low","Highest","Highest","Lowest","FALSE","Lowest","Lowest","Lowest","Low","Low","Medium","Highest","Medium","YES","NO","NO","High","Medium","Low","Medium"
"409","Public","Low","Highest","Low","Highest","Highest","Lowest","FALSE","Highest","Medium","Medium","Medium","Low","Lowest","Medium","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"410","Public","Low","Highest","Low","High","High","High","FALSE","Medium","Medium","Low","Lowest","Low","Lowest","Highest","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"411","Public","High","Highest","Low","Medium","Medium","Low","FALSE","Low","Low","Medium","Low","Low","Low","Highest","Medium","YES","NO","NO","High","Medium","Low","Medium"
"413","Public","Medium","Highest","Low","Low","Low","Medium","FALSE","Medium","Low","High","Low","Low","Low","Highest","Low","YES","NO","NO","High","Medium","Low","Medium"
"414","Public","Medium","Highest","Low","Highest","Highest","High","FALSE","Low","Low","High","Low","Lowest","Low","Medium","Medium","YES","NO","NO","High","Medium","Low","Medium"
"415","Public","High","Highest","Low","Highest","Highest","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","Highest","Low","YES","NO","NO","High","Medium","Low","Medium"
"416","Public","Highest","Highest","Low","Highest","Highest","High","FALSE","High","Medium","Highest","High","Medium","High","Lowest","High","YES","NO","NO","High","Medium","Low","Medium"
"417","Public","Low","Highest","Low","Highest","Highest","Low","FALSE","Highest","High","Medium","High","High","Highest","Lowest","Medium","YES","NO","NO","High","Medium","Low","Medium"
"419","Public","Highest","Highest","Low","Highest","Highest","Lowest","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"420","Public","Low","Highest","Low","Low","Lowest","Lowest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Medium","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"421","Public","Low","Highest","Low","Highest","Highest","Low","FALSE","Lowest","Low","Low","Medium","Medium","Medium","High","Lowest","YES","NO","NO","High","Medium","Low","Medium"
"422","Public","High","Highest","Low","Low","Lowest","High","FALSE","Low","Lowest","Low","Lowest","Low","Low","Highest","Low","YES","NO","YES","High","Medium","Low","Medium"
"424","Public","Highest","Highest","Low","Highest","Highest","Lowest","FALSE","Low","Medium","Medium","High","Medium","Medium","Lowest","High","YES","NO","YES","High","Medium","Low","Medium"
"425","Public","Medium","Highest","Low","Highest","Highest","High","FALSE","Lowest","Lowest","Lowest","Low","Lowest","High","Highest","Lowest","YES","NO","NO","High","Medium","Low","Medium"
