"","BoardID","SchoolID","Board.Type","School.Type","School.Special.Condition.Code","School.Language","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Percentage.of.Students.Identified.as.Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Junior.Kindergarten.Enrolment","Kindergarten.Enrolment","Grade.1.Enrolment","Grade.2.Enrolment","Grade.3.Enrolment","Grade.4.Enrolment","Grade.5.Enrolment","Grade.6.Enrolment","Grade.7.Enrolment","Grade.8.Enrolment","Board.Language","Elementary.Male.Educators","Elementary.Female.Educators"
"129","B28037","441945","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",73,"SP","98.6",NA,NA,"36.9",NA,"N/R","N/R","N/R","100%","100%","30%","13.8","39.8","YES","NO","NO","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"130","B28037","348732","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",140,"SP","98.6","SP","SP","27.1",NA,"62%","42%","19%","76%","65%","53%","22.5","8.1","YES","NO","YES","603","622","670","687","672","700","657","678","663","717","English","92.36","394.88"
"132","B28045","190390","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",163,"SP","100",NA,NA,"16.5",NA,"60%","65%","30%","50%","60%","15%","21.9","20.7","YES","NO","NO","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"134","B28045","486663","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",369,"3","100","SP","SP","14.9",NA,"72%","86%","76%","66%","66%","32%","17.7","22.3","YES","NO","NO","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"136","B28045","515000","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",31,NA,"100",NA,NA,"SP",NA,"N/R","N/R","N/R","N/R","N/R","N/R","SP","53.5","YES","NO","NO","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"137","B28045","478997","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",157,"SP","100","SP","SP","8.9",NA,"94%","94%","94%","76%","62%","19%","9.7","36.2","YES","NO","NO","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"138","B28045","583403","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",208,"SP","100","SP","SP","33.6",NA,NA,NA,NA,NA,NA,NA,"14.9","30.3","YES","YES","NO","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"139","B28045","406929","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",340,"SP","100","SP","SP","13.5",NA,"61%","68%","54%","68%","64%","50%","16","23.3","YES","NO","YES","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"140","B28045","514659","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",366,"SP","100","SP","SP","12",NA,"61%","70%","48%","50%","55%","12%","20.6","18.8","YES","NO","NO","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"142","B28045","288675","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",89,"SP","100",NA,NA,"16.8",NA,"N/R","N/R","N/R","N/R","N/R","N/R","12.9","41.2","YES","NO","NO","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"143","B28045","275026","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",96,"SP","100",NA,NA,"20.8",NA,"N/R","N/R","N/R","82%","55%","18%","15.6","SP","YES","NO","NO","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"145","B28045","157503","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",115,NA,"100",NA,NA,"16.5",NA,"N/R","N/R","N/R","47%","73%","7%","SP","36.7","YES","NO","NO","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"146","B28045","569739","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",342,"SP","100","SP","SP","2.9",NA,"65%","51%","53%","79%","54%","25%","11.1","26.1","YES","NO","YES","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"148","B28045","296996","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",234,"SP","100",NA,NA,"10.6",NA,"55%","45%","34%","70%","60%","47%","12.1","30.3","YES","NO","NO","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"149","B28045","570516","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",90,NA,"100",NA,NA,"27.7",NA,"N/R","N/R","N/R","N/R","N/R","N/R","11.3","43.9","YES","NO","NO","268","295","279","278","291","284","290","266","300","292","English","41.67","204.25"
"151","B28053","280747","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",263,"SP","99.6","SP","SP","25.4",NA,"64%","64%","61%","71%","66%","34%","15.2","39.6","YES","NO","NO","159","170","156","180","168","184","186","176","190","202","English","21.30","128.48"
"153","B28053","343404","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",53,NA,"100","SP","SP","26.4",NA,NA,NA,NA,NA,NA,NA,"25","41.7","YES","NO","NO","159","170","156","180","168","184","186","176","190","202","English","21.30","128.48"
"154","B28053","141518","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",265,"4.5","99.2","SP","SP","11.6",NA,"79%","76%","58%","91%","86%","68%","9.1","15.1","YES","NO","NO","159","170","156","180","168","184","186","176","190","202","English","21.30","128.48"
"155","B28053","350818","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",33,"SP","100","SP","SP","SP",NA,"N/R","N/R","N/R","N/R","N/R","N/R","SP","33.8","YES","NO","NO","159","170","156","180","168","184","186","176","190","202","English","21.30","128.48"
"156","B28053","383058","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",18,NA,"100",NA,NA,"SP",NA,"N/D","N/D","N/D","N/R","N/R","N/R","SP","SP","YES","NO","NO","159","170","156","180","168","184","186","176","190","202","English","21.30","128.48"
"157","B28053","540005","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",112,"SP","100",NA,NA,"9.8",NA,"N/R","N/R","N/R","100%","87%","60%","23.4","12","YES","NO","NO","159","170","156","180","168","184","186","176","190","202","English","21.30","128.48"
"158","B28053","487830","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",452,"7.1","100","SP","SP","22.7",NA,"51%","58%","44%","61%","43%","20%","16.5","30","YES","NO","NO","159","170","156","180","168","184","186","176","190","202","English","21.30","128.48"
"159","B28053","500445","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",152,"SP","99.3","SP","SP","15.1",NA,"58%","8%","17%","74%","63%","47%","25","41.7","YES","NO","NO","159","170","156","180","168","184","186","176","190","202","English","21.30","128.48"
"160","B28061","353159","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",67,"SP","100",NA,NA,"SP",NA,"75%","92%","50%","N/R","N/R","N/R","SP","40.3","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"161","B28061","570125","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",252,"SP","99.2","SP","SP","17",NA,"73%","65%","58%","89%","85%","37%","23.3","31.2","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"162","B28061","602620","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",325,"4.3","99.4","SP","SP","18.7",NA,"77%","77%","48%","78%","76%","68%","22.4","22.6","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"163","B28061","409618","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",311,"SP","100","SP","SP","10.9",NA,"87%","71%","71%","96%","84%","56%","SP","59.9","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"164","B28061","165808","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",191,"SP","100",NA,NA,"8.3",NA,"81%","86%","67%","80%","85%","30%","11.4","38.5","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"165","B28061","130982","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",441,"SP","100","SP","SP","7",NA,"46%","41%","32%","90%","86%","55%","17","32.2","YES","NO","YES","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"166","B28061","236136","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",667,"6.3","99.9","3.7","3.7","13.1",NA,"68%","71%","56%","85%","79%","46%","27.1","46.9","YES","NO","YES","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"167","B28061","509566","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",132,"SP","100",NA,NA,"15.9",NA,"71%","57%","43%","64%","64%","18%","31.2","16.8","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"168","B28061","198587","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",219,"SP","100","SP","SP","10",NA,"65%","61%","52%","82%","71%","18%","5.7","45.7","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"169","B28061","127868","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",176,"SP","100",NA,NA,"13",NA,"68%","75%","61%","79%","68%","26%","5.8","37.1","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"170","B28061","517216","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",205,NA,"100",NA,NA,"12.1",NA,"95%","68%","77%","90%","90%","33%","7.4","35.7","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"171","B28061","169207","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",561,"8.4","100","3.6","3.7","5.1",NA,"82%","64%","64%","88%","88%","67%","12.1","55.8","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"172","B28061","352764","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",171,"SP","100",NA,NA,"21.6",NA,"92%","100%","85%","92%","100%","33%","33.1","20.7","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"174","B28061","415553","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",192,"SP","100","SP","SP","22.9",NA,"88%","92%","73%","85%","92%","31%","37.8","7.7","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"175","B28061","300632","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",238,"5.9","100","SP","SP","20.5",NA,"52%","43%","36%","58%","42%","17%","24.5","20.6","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"176","B28061","604992","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",157,NA,"100","SP","SP","10.8",NA,"27%","9%","27%","75%","69%","31%","16.1","39.6","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"178","B28061","287091","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",171,NA,"100",NA,NA,"7",NA,"62%","62%","54%","74%","79%","16%","10.6","40.7","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"179","B28061","222372","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",156,NA,"100",NA,NA,"10.2",NA,"57%","71%","57%","88%","81%","75%","6.7","42.5","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"180","B28061","530344","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",183,"12","100","6.6","6.6","11.4",NA,"62%","75%","56%","41%","35%","6%","36.2","35.2","YES","NO","NO","595","636","593","630","639","616","610","587","616","564","English","72.08","357.42"
"182","B28070","142689","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",46,NA,"100","SP","SP","21.7",NA,"N/R","N/R","N/R","N/R","N/R","N/R","32","SP","YES","NO","NO","64","77","82","90","69","86","77","85","67","70","English","13.70","71.60"
"185","B28070","550884","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",71,"SP","100","23.9","23.9","SP",NA,"50%","30%","30%","N/R","N/R","N/R","33.3","28.6","YES","NO","NO","64","77","82","90","69","86","77","85","67","70","English","13.70","71.60"
"186","B28070","320650","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",56,NA,"100",NA,NA,"28.5",NA,"N/R","N/R","N/R","N/R","N/R","N/R","25","25","YES","NO","NO","64","77","82","90","69","86","77","85","67","70","English","13.70","71.60"
"187","B28070","385131","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",130,"SP","100","SP","SP","20",NA,"N/R","N/R","N/R","69%","50%","19%","18.5","16.3","YES","NO","NO","64","77","82","90","69","86","77","85","67","70","English","13.70","71.60"
"188","B28070","382795","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",17,NA,"100",NA,NA,"SP",NA,"N/R","N/R","N/R","N/R","N/R","N/R","SP","SP","YES","NO","NO","64","77","82","90","69","86","77","85","67","70","English","13.70","71.60"
"189","B28070","332097","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",36,"SP","100",NA,NA,"SP",NA,"N/R","N/R","N/R","N/R","N/R","N/R","SP","SP","YES","NO","NO","64","77","82","90","69","86","77","85","67","70","English","13.70","71.60"
"190","B28070","502006","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",51,NA,"100","SP","SP","SP",NA,"N/R","N/R","N/R","N/R","N/R","N/R","SP","25.2","YES","NO","NO","64","77","82","90","69","86","77","85","67","70","English","13.70","71.60"
"192","B28070","214574","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",135,"SP","99.3",NA,NA,"30.3",NA,"69%","69%","31%","50%","45%","20%","26.7","SP","YES","NO","NO","64","77","82","90","69","86","77","85","67","70","English","13.70","71.60"
"194","B28070","338010","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",204,NA,"100","SP","SP","9.3",NA,"67%","50%","67%","95%","95%","81%","15.8","SP","YES","NO","NO","64","77","82","90","69","86","77","85","67","70","English","13.70","71.60"
"195","B29009","815462","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",95,NA,"100",NA,NA,"16.8",NA,"N/R","N/R","N/R","N/R","N/R","N/R","14.4","22.7","YES","NO","NO","150","185","167","147","188","197","216","201","198","173","English","30.20","124.89"
"196","B29009","840688","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",140,"SP","96.4",NA,NA,"12.1",NA,"44%","62%","31%","58%","42%","33%","21.1","16.7","YES","NO","YES","150","185","167","147","188","197","216","201","198","173","English","30.20","124.89"
"197","B29009","758914","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",117,"SP","96.6",NA,NA,"19.6",NA,"N/D","N/D","N/D","53%","53%","9%","20.4","21","YES","NO","YES","150","185","167","147","188","197","216","201","198","173","English","30.20","124.89"
"198","B29009","706027","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",232,"SP","100","SP","SP","9",NA,"94%","69%","57%","79%","67%","25%","15.8","29.5","YES","YES","YES","150","185","167","147","188","197","216","201","198","173","English","30.20","124.89"
"199","B29009","716537","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",107,"SP","99.1",NA,NA,"13",NA,"N/R","N/R","N/R","71%","43%","0%","25.1","20.5","YES","NO","NO","150","185","167","147","188","197","216","201","198","173","English","30.20","124.89"
"200","B29009","759171","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",266,"18","98.5","SP","SP","7.5",NA,"65%","54%","52%","N/D","N/D","N/D","22.1","21.9","NO","NO","YES","150","185","167","147","188","197","216","201","198","173","English","30.20","124.89"
"201","B29009","815616","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",110,"SP","99.1","SP","SP","10",NA,"87%","60%","73%","81%","56%","50%","14.5","24.3","YES","NO","NO","150","185","167","147","188","197","216","201","198","173","English","30.20","124.89"
"202","B29009","800902","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",169,"SP","99.4",NA,NA,"8.2",NA,"52%","62%","55%","N/D","N/D","N/D","18.9","20.7","NO","NO","YES","150","185","167","147","188","197","216","201","198","173","English","30.20","124.89"
"204","B29009","862134","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",109,"SP","97.2","SP","SP","12.8",NA,"58%","33%","50%","87%","87%","33%","17.9","18.6","YES","NO","YES","150","185","167","147","188","197","216","201","198","173","English","30.20","124.89"
"205","B29009","839515","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",108,NA,"100",NA,NA,"16.6",NA,"N/R","N/R","N/R","100%","91%","45%","24","12.9","YES","NO","NO","150","185","167","147","188","197","216","201","198","173","English","30.20","124.89"
"206","B29009","863440","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",295,"14.2","97.3","SP","SP","17.2","SP","N/D","N/D","N/D","67%","54%","24%","17.1","29.1","YES","NO","YES","150","185","167","147","188","197","216","201","198","173","English","30.20","124.89"
"207","B29017","724467","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",174,"SP","98.9","SP","SP","29.3",NA,"50%","60%","60%","86%","71%","38%","13.3","43.6","YES","NO","YES","156","161","170","173","197","215","209","191","200","184","English","22.70","128.90"
"208","B29017","797391","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",176,"SP","100","SP","SP","30.1",NA,"92%","92%","69%","79%","79%","32%","19.6","35","YES","NO","NO","156","161","170","173","197","215","209","191","200","184","English","22.70","128.90"
"209","B29017","754625","Cath Dist Sch Brd (E/F)","Catholic","Not applicable","English",340,"SP","100",NA,NA,"14.7","SP","45%","48%","33%","94%","94%","53%","12.1","36.1","YES","NO","YES","156","161","170","173","197","215","209","191","200","184","English","22.70","128.90"
