Board Number,Board Name,Board Type,School Number,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,Building Suite,P.O. Box,Street,Municipality,City,Province,Postal Code,Phone Number,Fax Number,School Website,Board Website,Enrolment,Latitude,Longitude,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Grade 3 Students Achieving the Provincial Standard in Reading,Change in Grade 3 Reading Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Writing,Change in Grade 3 Writing Achievement Over Three Years,Percentage of Grade 3 Students Achieving the Provincial Standard in Mathematics,Change in Grade 3 Mathematics Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Reading,Change in Grade 6 Reading Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Writing,Change in Grade 6 Writing Achievement Over Three Years,Percentage of Grade 6 Students Achieving the Provincial Standard in Mathematics,Change in Grade 6 Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Academic Mathematics,Change in Grade 9 Academic Mathematics Achievement Over Three Years,Percentage of Grade 9 Students Achieving the Provincial Standard in Applied Mathematics,Change in Grade 9 Applied Mathematics Achievement Over Three Years,Percentage of Students That Passed the Grade 10 OSSLT on Their First Attempt,Change in Grade 10 OSSLT Literacy Achievement Over Three Years,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Extract Date
B28010,Algoma DSB,Pub Dist Sch Brd (E/F),144872,White Pines Intermediate School,Public,Not applicable,Elementary,English,7-8,,,1007 Trunk Road,Sault Ste. Marie,SAULT STE. MARIE,Ontario,P6A5K9,,,http://www.adsb.on.ca/sites/schools/wpi/default.aspx,http://www.adsb.on.ca, 79 ,46.52799174,-84.25992983,NA,100,NA,NA,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.1,29.4,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),765031,Archbishop O'Sullivan Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,974 Pembridge Cres,Kingston,Kingston,Ontario,K7P1A3,613-389-1891,613-389-8409,https://www.alcdsb.on.ca/school/abos/Pages/default.aspx,http://www.alcdsb.on.ca, 248 ,44.2496,-76.58494,4.4,99.2,SP,SP,24.1,NA,91%,-3,100%,12,65%,-17,93%,10,82%,-5,57%,22,NA,NA,NA,NA,NA,NA,10.8,42.5,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),827681,Cathedrale Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,301 Johnson St,Kingston,Kingston,Ontario,K7L1Y5,613-546-7555,613-546-0760,https://www.alcdsb.on.ca/school/ecth/Pages/default.aspx,http://www.alcdsb.on.ca, 375 ,44.23167,-76.49098,6.4,99.2,3.2,3.2,5,NA,92%,-2,90%,-7,88%,-3,74%,-20,89%,7,37%,-39,NA,NA,NA,NA,NA,NA,16.3,44.6,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),708011,Georges Vanier Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,100 Tracey St E,Belleville,Belleville,Ontario,K8P2R8,613-962-7541,613-391-0169,https://www.alcdsb.on.ca/school/gvan/Pages/default.aspx,http://www.alcdsb.on.ca, 329 ,44.18404,-77.40125,SP,100,SP,SP,14.5,NA,76%,23,68%,9,53%,0,68%,-2,62%,-5,27%,-9,NA,NA,NA,NA,NA,NA,22.9,29.8,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),715298,Holy Cross Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,1085 Woodbine Rd,Kingston,Kingston,Ontario,K7P2V9,613-384-1919,613-384-8665,https://www.alcdsb.on.ca/school/hcss/Pages/default.aspx,http://www.alcdsb.on.ca, 1047 ,44.25899,-76.59873,5.1,99.3,1.3,1.3,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89%,24,56%,0,71%,-15,8.5,40.5,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),717703,Holy Name Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,370 Kingston Mills Road,Kingston,Kingston,Ontario,K7L5H6,613-542-8611,613-549-6979,https://www.alcdsb.on.ca/school/name/Pages/default.aspx,http://www.alcdsb.on.ca, 115 ,44.30068,-76.42419,SP,100,NA,NA,16.5,NA,77%,-15,85%,-7,69%,2,91%,-1,82%,-10,55%,-3,NA,NA,NA,NA,NA,NA,11,31.1,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),865257,Holy Name of Mary Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,7314 Old Highway 2 RR1,Tyendinaga,Marysville,Ontario,K0K2N0,613-396-2741,613-396-6554,https://www.alcdsb.on.ca/school/namm/Pages/default.aspx,http://www.alcdsb.on.ca, 96 ,44.22671,-77.13684,SP,100,NA,NA,14.5,NA,N/R,NA,N/R,NA,N/R,NA,100%,NA,100%,NA,36%,NA,NA,NA,NA,NA,NA,NA,11.8,19.8,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),719919,Holy Rosary Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,10 Prince of Wales Dr,Belleville,Belleville,Ontario,K8P2T4,613-962-2305,613-391-0168,https://www.alcdsb.on.ca/school/rosa/Pages/default.aspx,http://www.alcdsb.on.ca, 217 ,44.17815,-77.38449,SP,100,NA,NA,15.2,NA,69%,38,69%,42,50%,35,73%,18,54%,9,27%,9,NA,NA,NA,NA,NA,NA,26,21.2,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),735523,J J O'Neill Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,240 Marilyn Ave,Greater Napanee,Napanee,Ontario,K7R2L4,613-354-9500,613-345-6970,https://www.alcdsb.on.ca/school/jjon/Pages/default.aspx,http://www.alcdsb.on.ca, 290 ,44.24701,-76.9636,NA,100,SP,SP,19.3,NA,69%,-20,66%,-26,53%,-16,81%,-9,78%,-16,41%,2,NA,NA,NA,NA,NA,NA,18.5,27.9,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),724068,John XXIII Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,736 High Gate Park Dr,Kingston,Kingston,Ontario,K7M5Z9,613-389-4388,613-389-9995,https://www.alcdsb.on.ca/school/john/Pages/default.aspx,http://www.alcdsb.on.ca, 240 ,44.24649,-76.60394,SP,100,SP,SP,14.1,NA,66%,-19,59%,-37,53%,-35,88%,15,84%,-3,25%,-42,NA,NA,NA,NA,NA,NA,6.1,42.9,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),728420,Loyola Community Learning Centre,Catholic,Adult,Secondary,English,9-12,,,1440 Princess Street,Kingston,Kingston,Ontario,K7M3E5,613-544-3361,613-547-0999,https://www.learningatloyola.ca/campus/kingston/,http://www.alcdsb.on.ca, 313 ,44.2508,-76.5329,7.7,98.7,3.8,3.8,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,21.1,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),773875,Mother Teresa Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,1044 Lancaster Dr,Kingston,Kingston,Ontario,K7P2L6,613-384-8644,613-384-0183,https://www.alcdsb.on.ca/school/trsa/Pages/default.aspx,http://www.alcdsb.on.ca, 383 ,44.25586,-76.59818,2.6,99.5,SP,SP,12.2,NA,89%,1,80%,-15,65%,-14,91%,1,97%,2,49%,-22,NA,NA,NA,NA,NA,NA,6.2,58.8,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),835099,Nicholson Catholic College,Catholic,Not applicable,Secondary,English,9-12,,,301 Church St,Belleville,Belleville,Ontario,K8N3C7,613-967-0404,613-967-1963,https://www.alcdsb.on.ca/school/nicc/Pages/default.aspx,http://www.alcdsb.on.ca, 448 ,44.16855,-77.38251,8.5,98.4,2.7,2.7,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82%,10,40%,7,85%,0,16.8,31.4,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),742279,Our Lady of Fatima Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,300 Sidney St,Belleville,Belleville,Ontario,K8P3Z3,613-962-2162,613-962-5935,https://www.alcdsb.on.ca/school/ofat/Pages/default.aspx,http://www.alcdsb.on.ca, 167 ,44.16552,-77.40142,SP,99.4,SP,SP,25.7,NA,60%,-1,53%,-11,27%,-16,74%,18,58%,-9,26%,9,NA,NA,NA,NA,NA,NA,30.9,22.6,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),746568,Our Lady of Lourdes Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,20 Cranbrook St,Kingston,Kingston,Ontario,K7M4M9,613-389-2800,613-389-9551,https://www.alcdsb.on.ca/school/lady/Pages/default.aspx,http://www.alcdsb.on.ca, 270 ,44.22013,-76.57084,SP,100,SP,SP,19.6,NA,96%,16,91%,1,91%,18,88%,15,92%,11,64%,13,NA,NA,NA,NA,NA,NA,10.6,50.8,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),746690,Our Lady of Mercy Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,192 Bridge St W,Bancroft,Bancroft,Ontario,K0L1C0,613-332-3300,613-332-0523,https://www.alcdsb.on.ca/school/omer/Pages/default.aspx,http://www.alcdsb.on.ca, 176 ,45.05601,-77.8624,SP,100,NA,NA,19.3,NA,75%,-8,70%,-2,65%,-24,78%,-22,83%,-17,43%,-38,NA,NA,NA,NA,NA,NA,26.4,14.3,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),706264,Our Lady of Mount Carmel Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,97 Park Cres,Loyalist,Amherstview,Ontario,K7N1L7,613-389-1122,613-389-9684,https://www.alcdsb.on.ca/school/olmc/Pages/default.aspx,http://www.alcdsb.on.ca, 494 ,44.2236,-76.64065,SP,99.6,NA,NA,12.3,NA,77%,28,60%,-3,58%,-2,75%,-5,77%,-5,30%,-32,NA,NA,NA,NA,NA,NA,10.3,33.2,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),752932,Regiopolis/Notre-Dame Catholic High School,Catholic,Not applicable,Secondary,English,9-12,,,130 Russell St,Kingston,Kingston,Ontario,K7K2E9,613-545-1902,613-548-4024,www.alcdsb.on.ca/school/regi,http://www.alcdsb.on.ca, 1018 ,44.24334,-76.49391,7.9,97.2,2.6,2.6,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92%,0,70%,13,80%,-6,14.7,32.5,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),756830,Sacred Heart Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,31 Thomas Bata Blvd,Quinte West,Batawa,Ontario,K0K1E0,613-398-6393,613-398-0589,https://www.alcdsb.on.ca/school/shrb/Pages/default.aspx,http://www.alcdsb.on.ca, 141 ,44.17001,-77.59641,SP,100,NA,NA,14.8,NA,75%,19,75%,25,65%,9,62%,-13,77%,-8,46%,11,NA,NA,NA,NA,NA,NA,32,10.2,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),764370,Sacred Heart Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,57 Hwy 95,Frontenac Islands,Wolfe Island,Ontario,K0H2Y0,613-385-2348,613-385-1415,https://www.alcdsb.on.ca/school/shrt/Pages/default.aspx,http://www.alcdsb.on.ca, 52 ,44.19003,-76.44197,NA,100,NA,NA,25,NA,68%,1,47%,-20,68%,35,81%,1,75%,22,19%,-1,NA,NA,NA,NA,NA,NA,12.4,22.2,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),868370,Sacred Heart Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,50 Bursthall St,Marmora and Lake,Marmora,Ontario,K0K2M0,613-472-2625,613-472-0540,https://www.alcdsb.on.ca/school/shrm/Pages/default.aspx,http://www.alcdsb.on.ca, 157 ,44.48104,-77.67865,SP,100,NA,NA,15.9,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,NA,NA,NA,NA,NA,NA,SP,SP,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),781142,St Carthagh Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,114 Hungerford Rd,Tweed,Tweed,Ontario,K0K3J0,613-478-2601,613-478-6127,https://www.alcdsb.on.ca/school/cart/Pages/default.aspx,http://www.alcdsb.on.ca, 148 ,44.47874,-77.31695,SP,100,NA,NA,18.9,NA,71%,NA,71%,NA,38%,NA,94%,5,88%,35,25%,-17,NA,NA,NA,NA,NA,NA,25.1,17.9,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),796220,St Gregory Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,7 Owen St,Prince Edward County,Picton,Ontario,K0K2T0,613-476-2461,613-476-8937,https://www.alcdsb.on.ca/school/greg/Pages/default.aspx,http://www.alcdsb.on.ca, 266 ,44.00879,-77.13262,SP,99.6,SP,SP,15,NA,76%,11,83%,18,66%,20,80%,1,75%,-17,55%,38,NA,NA,NA,NA,NA,NA,19.9,31.4,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),799556,St James Major,Catholic,Not applicable,Elementary,English,JK-8,,,14608 Hwy. #38,Essex,Sharbot Lake,Ontario,K0H2P0,613-279-3300,613-279-1120,https://www.alcdsb.on.ca/school/jams/Pages/default.aspx,http://www.alcdsb.on.ca, 56 ,44.77277,-76.68831,NA,100,NA,NA,23.2,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,NA,NA,NA,NA,NA,NA,27.2,SP,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),815330,St Joseph Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,405 Bridge St E,Belleville,Belleville,Ontario,K8N1P7,613-962-3653,613-391-0170,https://www.alcdsb.on.ca/school/jose/Pages/default.aspx,http://www.alcdsb.on.ca, 341 ,44.16896,-77.35838,SP,100,NA,NA,13.1,NA,82%,32,71%,31,58%,5,88%,-8,78%,-8,47%,-17,NA,NA,NA,NA,NA,NA,18.4,29.8,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),695602,St Joseph School,Catholic,Not applicable,Elementary,English,JK-5,,,671 Brock St,Kingston,Kingston,Ontario,K7L1V7,613-542-4352,,http://schools.alcdsb.on.ca/sjsm/default.aspx,http://www.alcdsb.on.ca, NA ,44.23329,-76.50685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),830984,St Marguerite Bourgeoys Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,355 Waterloo Ave,Kingston,Kingston,Ontario,K7M8P5,613-549-4499,613-549-9903,https://www.alcdsb.on.ca/school/marg/Pages/default.aspx,http://www.alcdsb.on.ca, 451 ,44.25374,-76.55339,3.1,99.3,SP,SP,14.6,NA,74%,-6,80%,-10,57%,-12,77%,-3,84%,-6,27%,-6,NA,NA,NA,NA,NA,NA,10.7,43.5,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),823570,St Martha Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,455 St Martha St,Kingston,Kingston,Ontario,K7K7C2,613-544-4050,613-544-5341,https://www.alcdsb.on.ca/school/mart/Pages/default.aspx,http://www.alcdsb.on.ca, 365 ,44.26573,-76.4467,6.8,95.9,3.3,3.8,17.2,NA,83%,0,71%,-10,71%,0,85%,-7,85%,-12,50%,-14,NA,NA,NA,NA,NA,NA,4.7,62.5,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),824330,St Martin of Tours Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,62 Post Street,Timmins,Whitney,Ontario,K0J2M0,613-637-2720,613-637-2873,https://www.alcdsb.on.ca/school/marn/Pages/default.aspx,http://www.alcdsb.on.ca, 20 ,45.49137,-78.23608,NA,100,NA,NA,SP,NA,N/D,NA,N/D,NA,N/D,NA,N/R,NA,N/R,NA,N/R,NA,NA,NA,NA,NA,NA,NA,SP,SP,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),831840,St Mary Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,1285 Read Rd RR 1,Tyendinaga,Shannonville,Ontario,K0K3A0,613-396-5430,613-396-6555,https://www.alcdsb.on.ca/school/stms/Pages/default.aspx,http://www.alcdsb.on.ca, 95 ,44.3069,-77.22173,SP,100,NA,NA,17.8,NA,58%,10,54%,-8,29%,-10,68%,-19,73%,-6,30%,-8,NA,NA,NA,NA,NA,NA,20.7,16.2,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),865125,St Mary Catholic School,Catholic,Not applicable,Elementary,English,JK-6,,,85 Campbell St,Quinte West,Trenton,Ontario,K8V3A2,613-392-3538,613-392-2368,https://www.alcdsb.on.ca/school/stmt/Pages/default.aspx,http://www.alcdsb.on.ca, 420 ,44.10885,-77.5662,SP,99.5,SP,SP,11.1,NA,N/R,NA,N/R,NA,N/R,NA,100%,NA,91%,NA,55%,NA,NA,NA,NA,NA,NA,NA,11.9,24.8,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),834688,St Michael Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,273 Church St,Belleville,Belleville,Ontario,K8N3C7,613-968-5765,613-391-0171,https://www.alcdsb.on.ca/school/mich/Pages/default.aspx,http://www.alcdsb.on.ca, 618 ,44.16771,-77.38212,2.9,99.5,SP,SP,11.9,NA,55%,4,35%,-33,24%,-8,82%,2,78%,-4,13%,-23,NA,NA,NA,NA,NA,NA,25.3,24.3,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),764248,St Patrick Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,6041 HW Y 41,Stone Mills,Erinsville,Ontario,K0K2A0,613-379-2991,613-379-5627,https://www.alcdsb.on.ca/school/stpe/Pages/default.aspx,http://www.alcdsb.on.ca, 24 ,44.48645,-77.0527,NA,100,NA,NA,SP,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,N/R,NA,NA,NA,NA,NA,NA,NA,SP,SP,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),841773,St Patrick Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,3889 Wilton Rd,South Frontenac,Harrowsmith,Ontario,K0H1V0,613-372-2251,613-372-2726,https://www.alcdsb.on.ca/school/stph/Pages/default.aspx,http://www.alcdsb.on.ca, 214 ,44.39978,-76.67004,NA,100,SP,SP,7.4,NA,84%,12,74%,-23,84%,15,79%,-11,67%,-19,38%,14,NA,NA,NA,NA,NA,NA,10.3,32.8,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),706744,St Paul Catholic Elementary School,Catholic,Not applicable,Elementary,English,7-8,,,15 Tripp Blvd,Quinte West,Trenton,Ontario,K8V6M2,613-394-4843,613-394-2684,www.alcdsb.on.ca/school/pass,http://www.alcdsb.on.ca, 186 ,44.0943,-77.59737,SP,97.8,NA,NA,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,21,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),842761,St Paul Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,266 McMahon Ave,Kingston,Kingston,Ontario,K7M3H2,613-542-6101,613-542-3784,https://www.alcdsb.on.ca/school/paul/Pages/default.aspx,http://www.alcdsb.on.ca, 155 ,44.24963,-76.52414,SP,97.4,SP,SP,18.7,NA,76%,-24,82%,-11,65%,-6,86%,-9,95%,0,50%,-32,NA,NA,NA,NA,NA,NA,17.7,45.4,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),841358,St Paul Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,15 Tripp Blvd,Quinte West,Trenton,Ontario,K8V6M2,613-394-4843,613-394-2684,www.alcdsb.on.ca/school/pass,http://www.alcdsb.on.ca, 329 ,44.09403,-77.59805,SP,97.9,SP,SP,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81%,-5,50%,-12,79%,-1,13.2,23.9,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),845493,St Peter Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,15A Tripp Blvd,Quinte West,Trenton,Ontario,K8V6M2,613-392-6577,613-392-3191,https://www.alcdsb.on.ca/school/pett/Pages/default.aspx,http://www.alcdsb.on.ca, 295 ,44.09989,-77.57898,SP,99.3,SP,SP,16.9,NA,55%,1,45%,-9,34%,-17,76%,9,76%,24,42%,20,NA,NA,NA,NA,NA,NA,16.9,26.1,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),851752,St Theresa Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,,,135 Adam St,Belleville,Belleville,Ontario,K8N5S1,613-968-6993,613-968-9470,www.alcdsb.on.ca/school/thss,http://www.alcdsb.on.ca, 723 ,44.19052,-77.38185,2.2,99.9,SP,SP,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60%,-11,28%,-11,81%,0,13,21.5,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),856150,St Thomas More Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,234 Norman Rogers Dr,Kingston,Kingston,Ontario,K7M2R4,613-542-1575,613-544-3970,https://www.alcdsb.on.ca/school/sttm/Pages/default.aspx,http://www.alcdsb.on.ca, 232 ,44.23513,-76.524,9.9,100,4.3,4.3,25.8,NA,61%,-10,55%,-24,30%,-37,78%,-11,78%,-7,53%,-3,NA,NA,NA,NA,NA,NA,24.5,44,6/17/2019
B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),756642,St. Francis of Assisi Catholic School,Catholic,Not applicable,Elementary,English,JK-8,,,114 Wiley Street,Kingston,Kingston,Ontario,K7K5B5,613-546-5981,613-546-0463,https://www.alcdsb.on.ca/school/stfa/Pages/default.aspx,http://www.alcdsb.on.ca, 302 ,44.2608581,-76.490657,3.3,99.7,SP,SP,33.4,NA,38%,NA,41%,NA,16%,NA,61%,NA,58%,NA,6%,NA,NA,NA,NA,NA,NA,NA,45.2,18.2,6/17/2019
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),019313,Anne Hathaway Public School,Public,Not applicable,Elementary,English,JK-6,,,77 Bruce St,Stratford,Stratford,Ontario,N5A4A2,519-271-8576,519-271-8516,http://www.avonmaitlandschools.ca/annehathaway/,http://blog.amdsb.ca/, 399 ,43.3579,-80.97202,4,99.5,SP,SP,6.7,SP,70%,20,61%,-3,54%,11,80%,6,82%,12,53%,-2,NA,NA,NA,NA,NA,NA,23.9,25.7,6/17/2019
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),893048,Avon Maitland District E-learning Centre,Public,Not applicable,Secondary,English,9-12,,,165 Princess St E,Central Huron,Clinton,Ontario,N0M1L0,519-482-5428,519-482-8795,http://amdec.ca/,http://blog.amdsb.ca/, 297 ,43.61860022,-81.53256395,11.8,97,3.4,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/D,NA,15,36.5,6/17/2019
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),028673,Avon Public School,Public,Not applicable,Elementary,English,JK-6,,,31 Huntingdon Ave,Stratford,Stratford,Ontario,N5A6N7,519-271-2905,519-271-0406,http://www.avonmaitlandschools.ca/avon/,http://blog.amdsb.ca/, 314 ,43.37444,-80.99786,SP,100,SP,SP,11.4,SP,63%,-11,56%,0,63%,-6,78%,-7,73%,-5,53%,5,NA,NA,NA,NA,NA,NA,10.3,45.3,6/17/2019
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),039306,Bedford Public School,Public,Not applicable,Elementary,English,JK-6,,,59 Bedford Dr,Stratford,Stratford,Ontario,N5A5J7,519-273-1190,519-273-7001,http://www.avonmaitlandschools.ca/bedford/,http://blog.amdsb.ca/, 449 ,43.3824,-80.97224,3.6,100,SP,SP,9.1,SP,68%,-7,58%,-5,51%,-13,87%,9,87%,17,35%,9,NA,NA,NA,NA,NA,NA,13,53.4,6/17/2019
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),272319,Bluewater Coast Elementary Public School,Public,Not applicable,Elementary,English,JK-6,,130,85 York Street,Bluewater,Hensall,Ontario,N0M1X0,519-262-2833,519-262-2323,http://www.avonmaitlandschools.ca/bluewatercoast/,http://blog.amdsb.ca/, 129 ,43.43146,-81.50147,SP,98.4,NA,NA,8.5,NA,67%,-8,67%,5,58%,8,93%,17,93%,17,53%,18,NA,NA,NA,NA,NA,NA,9.8,13.3,6/17/2019
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),066699,Brookside Public School,Public,Not applicable,Elementary,English,JK-8,,,36937 Belgrave Road RR 7,Ashfield-Colborne-Wawanosh,Lucknow,Ontario,N0G2H0,519-529-7900,519-529-3142,http://www.avonmaitlandschools.ca/brookside/,http://blog.amdsb.ca/, 212 ,43.89914,-81.57088,SP,100,SP,SP,16,SP,70%,11,61%,-4,52%,-7,70%,-4,80%,12,40%,8,NA,NA,NA,NA,NA,NA,22.2,23.3,6/17/2019
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),899569,Central Huron Secondary School,Public,Not applicable,Secondary,English,9-12,,,165 Princess St E,Central Huron,Clinton,Ontario,N0M1L0,519-482-3471,519-482-9718,http://conrkuip.typepad.com/chss_chronicle/,http://blog.amdsb.ca/, 488 ,43.61681,-81.5337,4.5,100,NA,NA,25.8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72%,-4,46%,7,67%,-5,10.6,16.3,6/17/2019
B66010,Avon Maitland DSB,Pub Dist Sch Brd (E/F),093718,Central Perth Elementary School,Public,Not applicable,Elementary,English,JK-8,,,4663 Road 135 RR 1,Perth East,Sebringville,Ontario,N0K1X0,519-393-5300,519-393-5540,http://www.avonmaitlandschools.ca/centralperth/,http://blog.amdsb.ca/, 220 ,43.46305,-81.02657,5.5,100,NA,NA,10.9,SP,93%,15,87%,-13,73%,-8,82%,-14,79%,-5,29%,-39,NA,NA,NA,NA,NA,NA,11,29.5,6/17/2019
